city,store,num_samples,per_ride_avg,per_ride_median,per_ride_std,p25,p75
PUNE,BSPUN-BIBWEWADI-BGS3,2,62.3,62.3,11.4,58.2,66.3
PUNE,BSPUN-JAGDISHNAGAR-BS2,1,47.5,47.5,10.5,47.5,47.5
PUNE,BSPUN-KSQARE-BANER-BS1,1,80.3,80.3,10.5,80.3,80.3
PUNE,BSPUN-WAKAD-BS1,17,52.7,55.9,10.5,47.1,60.0
PUNE,T1EX-PUN-AUNDH,1,71.1,71.1,10.5,71.1,71.1
PUNE,T1EX-PUN-BANER,6,44.8,41.7,8.8,37.8,51.7
PUNE,T1EX-PUN-BAVDHAN,0,63.1,62.8,10.5,60.4,67.2
PUNE,T1EX-PUN-BLUERIDGE,5,63.6,63.1,7.9,57.5,69.5
PUNE,T1EX-PUN-CHINCHWADGAON,1,62.5,62.5,10.5,62.5,62.5
PUNE,T1EX-PUN-HINJEWADIPHASE3,1,47.0,47.0,10.5,47.0,47.0
PUNE,T1EX-PUN-NIGDI,1,69.1,69.1,10.5,69.1,69.1
PUNE,T1EX-PUN-PIMPLEGURAV,1,69.5,69.5,10.5,69.5,69.5
PUNE,T1EX-PUN-PUNAWALE,1,53.6,53.6,10.5,53.6,53.6
PUNE,T1EX-PUN-RAVET,1,53.3,53.3,10.5,53.3,53.3
PUNE,T1EX-PUN-SHIVAJINAGAR,1,68.1,68.1,10.5,68.1,68.1
PUNE,T1EX-PUN-SINHAGADROAD,1,50.0,50.0,10.5,50.0,50.0
PUNE,T1EX-PUN-SUS,3,81.3,99.6,33.1,71.4,100.4
PUNE,T1EX-PUN-WADGAONSHERI,1,70.1,70.1,10.5,70.1,70.1
PUNE,T1EX-PUN-WANOWARI,1,89.6,89.6,10.5,89.6,89.6
